iter	RMSE
0	0.2691114166
1	0.2622754868
2	0.2549720474
3	0.2479698315
4	0.2410869395
5	0.235032054
6	0.2292392873
7	0.2234581095
8	0.2181487036
9	0.2128769449
10	0.2070022884
11	0.2015043101
12	0.1963461475
13	0.1912338899
14	0.1864559186
15	0.1812893003
16	0.1763210494
17	0.1729717672
18	0.1688910271
19	0.164930669
20	0.1606974761
21	0.1570855986
22	0.152984233
23	0.1492921982
24	0.1459381367
25	0.1422606653
26	0.1387445593
27	0.1350640263
28	0.1324630789
29	0.1294982324
30	0.1266320145
31	0.1240153147
32	0.1211245629
33	0.1183524349
34	0.1155444954
35	0.1129826947
36	0.1103253247
37	0.1077625426
38	0.1056529321
39	0.1033746942
40	0.1010862002
41	0.09874098309
42	0.09677596551
43	0.09472172515
44	0.09273303125
45	0.09078329772
46	0.08915868387
47	0.0873111152
48	0.08564791862
49	0.08388630471
50	0.0823466347
51	0.08054475044
52	0.07907261105
53	0.07755205233
54	0.07599994379
55	0.07472659768
56	0.07310498613
57	0.07192249524
58	0.07061182605
59	0.06943090576
60	0.06819061973
61	0.06696445551
62	0.06596691653
63	0.06479641547
64	0.06360953038
65	0.06256738442
66	0.06166696475
67	0.0605460811
68	0.059598622
69	0.05867507326
70	0.05784649789
71	0.0569736059
72	0.05611569354
73	0.05532843628
74	0.05454338562
75	0.05380593086
76	0.05311628865
77	0.05234795699
78	0.05171977752
79	0.05104717348
80	0.05033106336
81	0.04957800463
82	0.04890573544
83	0.04831187049
84	0.04770577151
85	0.04701405308
86	0.04637174217
87	0.04583851883
88	0.0452546653
89	0.0446814603
90	0.04413571522
91	0.04362499179
92	0.04317007493
93	0.04262518928
94	0.04208676394
95	0.04159293521
96	0.04110410365
97	0.04062062746
98	0.0402009818
99	0.03976916851
100	0.03934471323
101	0.03892673642
102	0.03849000728
103	0.03804033028
104	0.03765718932
105	0.03724446043
106	0.03689567822
107	0.03649295811
108	0.0361254952
109	0.0357903936
110	0.03546813444
111	0.03509912202
112	0.03475324882
113	0.03438016372
114	0.03408610567
115	0.0337261956
116	0.03335857411
117	0.03298747928
118	0.03264407747
119	0.03237665954
120	0.03204943795
121	0.03173803612
122	0.03146655485
123	0.03115974012
124	0.03087446122
125	0.0305466266
126	0.03023860852
127	0.02995647347
128	0.02968817208
129	0.02941292064
130	0.02913260785
131	0.02889020163
132	0.02858682284
133	0.02836323949
134	0.02812837533
135	0.02785474557
136	0.02762100724
137	0.02740179908
138	0.02718041596
139	0.02690645844
140	0.02665399902
141	0.02641292496
142	0.02615888444
143	0.02596961721
144	0.0257078022
145	0.02544808397
146	0.025250985
147	0.02502776235
148	0.02482373682
149	0.02464823789
150	0.02442624001
151	0.02425267546
152	0.0240360768
153	0.02383201151
154	0.02362314625
155	0.02341400735
156	0.02325182951
157	0.0230888102
158	0.02289016946
159	0.02269457591
160	0.022490285
161	0.0223458076
162	0.02213591626
163	0.02195163004
164	0.02174991253
165	0.02152503889
166	0.02136040078
167	0.02116535953
168	0.02102746902
169	0.02090292011
170	0.02071794562
171	0.02053585597
172	0.02040676377
173	0.0202498399
174	0.02009774742
175	0.01998520026
176	0.01986410566
177	0.01971347852
178	0.01954219924
179	0.01939066793
180	0.01921184345
181	0.0190843074
182	0.01892615154
183	0.01874770615
184	0.01861520434
185	0.01845451224
186	0.01829485518
187	0.01820030497
188	0.01810035546
189	0.01791042401
190	0.01776185689
191	0.01766205309
192	0.01755203553
193	0.01741898621
194	0.01728317228
195	0.01714602668
196	0.01702205402
197	0.01686340947
198	0.0167398074
199	0.01662334893
200	0.01647719815
201	0.01637470393
202	0.0162734579
203	0.01616448969
204	0.01605491311
205	0.01594690809
206	0.0158451349
207	0.01567448248
208	0.01558361662
209	0.01550993003
210	0.01538780789
211	0.01526521987
212	0.01514536464
213	0.01501954408
214	0.01491968457
215	0.01481962965
216	0.0147150525
217	0.01461549654
218	0.01454596928
219	0.01444043946
220	0.01434698234
221	0.01427677048
222	0.01414433656
223	0.01407193168
224	0.01400082908
225	0.0139357565
226	0.01385376202
227	0.01375287077
228	0.01364044294
229	0.01356592543
230	0.01348765415
231	0.01341055817
232	0.01333092475
233	0.013234417
234	0.0131814371
235	0.0130486527
236	0.01299198734
237	0.01289591348
238	0.01281742905
239	0.01276487723
240	0.01266083502
241	0.01256202485
242	0.01250783192
243	0.0124153334
244	0.01235895388
245	0.01225545946
246	0.01215327215
247	0.01204812922
248	0.01198915808
249	0.01192152231
250	0.01186866059
251	0.01174466361
252	0.01163952809
253	0.01159133943
254	0.01153554219
255	0.01145898386
256	0.01137546732
257	0.01135184165
258	0.01126957204
259	0.01120127223
260	0.01115386355
261	0.01109895623
262	0.01099880167
263	0.01090754743
264	0.01080872402
265	0.0107067489
266	0.01062255994
267	0.01056213189
268	0.01047592689
269	0.0104129869
270	0.01031441065
271	0.01027716126
272	0.01020568609
273	0.01012109114
274	0.01008305399
275	0.009992010574
276	0.009961137133
277	0.009877961546
278	0.00982872837
279	0.009790947369
280	0.009712138655
281	0.009641927078
282	0.009567280923
283	0.009512220559
284	0.009428327159
285	0.009360312541
286	0.009319525034
287	0.009251856978
288	0.009181110484
289	0.009153815459
290	0.009072216893
291	0.00904527198
292	0.008981306985
293	0.008962516467
294	0.008902961071
295	0.008850053203
296	0.008782094271
297	0.008708530109
298	0.0086446729
299	0.008578855793
300	0.008535469443
301	0.008488718949
302	0.008463777756
303	0.008427227776
304	0.0084157409
305	0.00834171611
306	0.008284738902
307	0.008226435665
308	0.008188710158
309	0.008151606433
310	0.008084574081
311	0.008037867084
312	0.007985181512
313	0.007943369944
314	0.007922799747
315	0.007907762755
316	0.007837633072
317	0.007772376983
318	0.007707552787
319	0.007661091893
320	0.007611552815
321	0.007589167679
322	0.007547030346
323	0.007503858883
324	0.00745931917
325	0.007391851763
326	0.007350842227
327	0.007276583431
328	0.00722343166
329	0.007176977078
330	0.007139355647
331	0.007087376119
332	0.007045783391
333	0.007014273479
334	0.006985200945
335	0.006952573303
336	0.006908347635
337	0.006870208749
338	0.006854005437
339	0.006813267787
340	0.006783321103
341	0.006725438118
342	0.006705294108
343	0.006674020197
344	0.006660455577
345	0.006651283848
346	0.006640418269
347	0.0066082252
348	0.006574524185
349	0.006551814948
350	0.006502869474
351	0.006451322396
352	0.006422316158
353	0.006385589685
354	0.006362897719
355	0.006338429445
356	0.006317461985
357	0.00629283023
358	0.006246177545
359	0.006220839758
360	0.006196748433
361	0.006156127985
362	0.006115661576
363	0.006085129221
364	0.006076809939
365	0.006031667077
366	0.005993793715
367	0.005987857636
368	0.005958785651
369	0.005927886755
370	0.005896404204
371	0.005872181795
372	0.005854103636
373	0.005847106888
374	0.005841465762
375	0.005812716614
376	0.005789151206
377	0.005769001826
378	0.005749315623
379	0.005716614458
380	0.005687107806
381	0.005662154056
382	0.005611875314
383	0.005576903254
384	0.005536442015
385	0.005499245463
386	0.00547402947
387	0.005446698392
388	0.00541761345
389	0.00539067982
390	0.005369967597
391	0.005352731879
392	0.005348099004
393	0.005328597263
394	0.005297795551
395	0.005278476456
396	0.005261068684
397	0.005247075289
398	0.005233588679
399	0.005204438604
400	0.005193044727
401	0.005156907801
402	0.005126466074
403	0.005109901461
404	0.005106362456
405	0.005086293187
406	0.005058199663
407	0.005039902708
408	0.005012818674
409	0.004989012574
410	0.004985056037
411	0.004953386985
412	0.004945544465
413	0.004942042856
414	0.004932105408
415	0.004911689178
416	0.004899729321
417	0.004865852318
418	0.004826475087
419	0.004807701864
420	0.004780944312
421	0.00476848142
422	0.004743887849
423	0.004719528118
424	0.004707748488
425	0.004684418947
426	0.004658081845
427	0.004643553573
428	0.004613160965
429	0.004611046343
430	0.004586798641
431	0.004577938625
432	0.004573002891
433	0.004556551867
434	0.004531501831
435	0.004507839678
436	0.004499042762
437	0.00447268487
438	0.004449109337
439	0.004444750446
440	0.004420112167
441	0.004400412901
442	0.00438261998
443	0.004357915181
444	0.004334562507
445	0.004309494858
446	0.004299412837
447	0.004277014678
448	0.004248150953
449	0.004226655635
450	0.004209912899
451	0.004188829682
452	0.004181392974
453	0.004166393263
454	0.004145644947
455	0.004140974206
456	0.004137046904
457	0.004121201841
458	0.004117861921
459	0.004108406689
460	0.004082438663
461	0.004054415793
462	0.004037825684
463	0.004028433095
464	0.004001666026
465	0.003982572996
466	0.003965181948
467	0.003947349908
468	0.003932355015
469	0.003912558269
470	0.003902885035
471	0.003895941705
472	0.003883008996
473	0.003881176509
474	0.003857691574
475	0.003836097021
476	0.003813460151
477	0.003811760329
478	0.003804123521
479	0.003784280728
480	0.003769177149
481	0.003762172061
482	0.003759158274
483	0.003746012142
484	0.003739870115
485	0.00372266218
486	0.003698945608
487	0.003680170085
488	0.003664447494
489	0.003651449153
490	0.003649227541
491	0.003645432377
